DEBUG 11-11 11:08:54,330 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:08:54,366 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:08:54,368 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  11-11 11:08:56,437 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:56,668 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:08:56,697 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:08:56,698 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  11-11 11:08:58,574 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:58,804 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:08:58,834 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:08:58,835 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  11-11 11:09:00,651 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:09:00,914 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:09:00,944 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:09:00,945 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  11-11 11:09:07,835 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:09:08,085 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:09:08,124 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:09:08,126 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  12-11 05:12:47,096 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 12-11 05:12:47,447 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 12-11 05:12:47,531 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 12-11 05:12:47,890 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 12-11 05:12:47,915 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  12-11 05:12:48,255 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 12-11 05:12:48,319 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 12-11 05:12:48,334 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 12-11 05:12:48,595 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 12-11 05:12:48,610 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  12-11 05:12:48,960 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 12-11 05:12:49,022 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 12-11 05:12:49,039 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 12-11 05:12:49,253 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 12-11 05:12:49,262 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  12-11 05:12:49,612 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 12-11 05:12:49,667 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 12-11 05:12:49,681 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 12-11 05:12:49,908 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 12-11 05:12:49,917 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  12-11 05:12:50,285 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 12-11 05:12:50,346 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 12-11 05:12:50,362 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 12-11 05:12:50,651 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 12-11 05:12:50,677 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  12-11 05:12:51,025 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 12-11 05:12:51,085 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 12-11 05:12:51,099 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 12-11 05:12:51,444 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 12-11 05:12:51,508 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  12-11 05:12:51,850 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 12-11 05:12:51,918 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 12-11 05:12:51,936 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 12-11 05:12:51,936 (PGDParser.java:parse:54)  -Reading data from inputstream...
